date,weighted_sentiment,num_stocks,weight_percentage,sentiment_ma7
2015-08-28,0.11307071474016159,1,0.73,0.09422406032124882
2015-08-29,0.11825687899608384,0,0.0,0.101833460677753
2015-08-30,0.11825687899608384,0,0.0,0.10761207500746926
2015-08-31,0.12668920223334126,1,0.73,0.11825687899608384
2015-09-01,0.1280850084653395,2,0.9000000000000001,0.11966089749169177
2015-09-02,0.1926576093505236,2,0.6450000000000001,0.1340082718550452
2015-09-03,0.17747437320331055,0,0.0,0.13921295228354916
2015-09-04,0.17551213598126988,1,0.73,0.1481331553179932
2015-09-05,0.21364273901610925,1,0.73,0.1617597067494254
2015-09-06,0.17747437320331055,0,0.0,0.1702193487790292
2015-09-07,0.17747437320331055,0,0.0,0.17747437320331055
2015-09-08,0.18886604791994044,1,0.4,0.1861573788396821
2015-09-09,0.18886604791994044,0,0.0,0.18561572720674166
2015-09-10,0.28205748306329237,1,1.54,0.20055617147245336
2015-09-11,0.18886604791994044,0,0.0,0.2024638731779777
2015-09-12,0.18886604791994044,1,0.8750000000000001,0.198924345878525
2015-09-13,0.18886604791994044,0,0.0,0.20055172798090068
2015-09-14,0.09567461277658856,2,0.195,0.18886604791994044
2015-09-15,0.01731336699606202,0,0.0,0.1643585220736721
2015-09-16,0.01731336699606202,0,0.0,0.13985099622740374
2015-09-17,0.01731336699606202,1,0.11499999999999999,0.1020304082177994
2015-09-18,0.01731336699606202,1,0.325,0.07752288237153106
2015-09-19,0.01731336699606202,0,0.0,0.053015356525262715
2015-09-20,0.01731336699606202,0,0.0,0.02850783067899437
2015-09-21,0.01731336699606202,0,0.0,0.01731336699606202
2015-09-22,0.02883489964238001,0,0.0,0.018959300231250288
2015-09-23,0.02883489964238001,0,0.0,0.020605233466438576
2015-09-24,0.028834899642380014,1,0.285,0.022251166701626857
2015-09-25,0.011058463522737453,1,0.4,0.021357609062580492
2015-09-26,0.02883489964238001,0,0.0,0.023003542297768773
2015-09-27,0.02883489964238001,0,0.0,0.02464947553295706
2015-09-28,0.046611335762022574,1,0.11,0.02883489964238
2015-09-29,0.07343748024779628,0,0.0,0.035206696871725174
2015-09-30,0.05625566096014916,1,0.26,0.03912394848854934
2015-10-01,0.07343748024779628,1,1.365,0.04549574571789452
2015-10-02,0.07343748024779628,0,0.0,0.05440703382147436
2015-10-03,0.07343748024779628,0,0.0,0.06077883105081954
2015-10-04,0.09061929953544337,1,0.165,0.06960517389268572
2015-10-05,0.07343748024779628,1,0.36,0.07343748024779627
2015-10-06,0.13788395213599652,1,1.15,0.08264411908896772
2015-10-07,0.10339430211395734,2,1.265,0.08937821068236888
2015-10-08,0.12063912712497693,1,4.215,0.0961213030933947
2015-10-09,0.12063912712497693,0,0.0,0.10286439550442052
2015-10-10,0.12063912712497693,0,0.0,0.1096074879154463
2015-10-11,0.12063912712497693,0,0.0,0.11389603471395111
2015-10-12,0.12063912712497693,1,0.18,0.12063912712497692
2015-10-13,0.34203745426780774,2,1.6850000000000005,0.1498039131438071
2015-10-14,0.34203745426780774,2,0.9600000000000001,0.18389579202292858
2015-10-15,0.3425753346397152,1,0.18,0.21560096452503405
2015-10-16,0.34149957389590024,2,0.43500000000000005,0.24715245692088023
2015-10-17,0.34203745426780774,0,0.0,0.27878078936985606
2015-10-18,0.34203745426780774,0,0.0,0.3104091218188319
2015-10-19,0.34203745426780774,0,0.0,0.34203745426780774
2015-10-20,0.20968191459689406,0,0.0,0.3231295200291058
2015-10-21,0.20968191459689406,0,0.0,0.3042215857904038
2015-10-22,0.23631519218214836,2,1.4749999999999999,0.28904156543932286
2015-10-23,0.2234483958785129,3,4.175,0.2721771114368389
2015-10-24,0.27873929210454107,1,0.3,0.26313451684208655
2015-10-25,0.10022477822237391,1,4.81,0.228589848835596
2015-10-26,0.20968191459689406,1,0.11,0.20968191459689403
2015-10-27,0.10206035358028442,1,2.725,0.1943074058802355
2015-10-28,0.10206035358028441,0,0.0,0.17893289716357702
2015-10-29,0.10206035358028441,1,0.19,0.15975363450616786
2015-10-30,0.10206035358028441,0,0.0,0.14241248560642095
2015-10-31,0.10206035358028441,0,0.0,0.11717263724581284
2015-11-01,0.10206035358028441,1,0.11,0.1174348622969429
2015-11-02,0.10206035358028441,1,0.8750000000000001,0.1020603535802844
2015-11-03,0.30208534455627156,1,0.8750000000000001,0.1306353522911397
2015-11-04,0.32158409169562074,1,1.365,0.1619958863076163
2015-11-05,0.30208534455627156,2,0.47000000000000003,0.1905708850184716
2015-11-06,0.21903221387707683,2,0.46499999999999997,0.20728115077515624
2015-11-07,0.365639728096117,1,0.285,0.24493534713456092
2015-11-08,0.30208534455627156,1,0.22999999999999998,0.2735103458454162
2015-11-09,0.30208534455627156,0,0.0,0.3020853445562715
2015-11-10,0.15907209176642487,1,0.345,0.2816548798720077
2015-11-11,0.15907209176642487,1,0.325,0.2584388798821226
2015-11-12,0.14170904128489964,1,0.4,0.23552797941478376
2015-11-13,0.15907209176642487,0,0.0,0.22696224768469062
2015-11-14,0.16648029675912804,3,1.475,0.19851090035083505
2015-11-15,0.15907209176642487,0,0.0,0.17808043566657122
2015-11-16,0.16670856501205977,1,0.73,0.15874089573168382
2015-11-17,-0.04977860011973831,2,0.76,0.1289050826050891
2015-11-18,-0.07400657748050193,2,0.5,0.09560812985552812
2015-11-19,-0.1580306464157508,1,0.3,0.052788174469720915
2015-11-20,0.0100174914547469,1,0.3,0.031494660139481205
2015-11-21,-0.07898219648886123,1,0.145,-0.0035714103245172634
2015-11-22,-0.06903095847214263,1,0.145,-0.03615756035859834
2015-11-23,-0.09823455484126556,1,0.39,-0.07400657748050196
2015-11-24,0.06270742850019137,0,0.0,-0.057937144820511995
2015-11-25,0.06270742850019137,0,0.0,-0.03840657253755581
2015-11-26,0.06270742850019137,0,0.0,-0.006872561835278361
2015-11-27,0.06309514403787707,1,0.285,0.000709959962311663
2015-11-28,0.062319712962505686,2,0.515,0.02089594702679265
2015-11-29,0.046193280725316734,1,0.145,0.03735655262642971
2015-11-30,0.07922157627506601,1,0.145,0.06270742850019136
2015-12-01,0.06847710928589124,0,0.0,0.0635316686124342
2015-12-02,0.06847710928589124,0,0.0,0.06435590872467703
2015-12-03,0.06847710928589124,1,0.07,0.06518014883691987
2015-12-04,0.06847710928589124,1,0.11,0.0659490010152076
2015-12-05,0.06847710928589124,0,0.0,0.06682862906140555
2015-12-06,0.06847710928589124,0,0.0,0.07001203314148761
2015-12-07,0.06847710928589124,0,0.0,0.06847710928589124
2015-12-08,-0.11177013976692221,1,0.18,0.042727502278346444
2015-12-09,-0.11177013976692221,1,0.4,0.016977895270801662
2015-12-10,-0.11177013976692221,0,0.0,-0.008771711736743114
2015-12-11,-0.11177013976692221,0,0.0,-0.03452131874428789
2015-12-12,-0.11177013976692221,1,0.285,-0.06027092575183267
2015-12-13,-0.11177013976692221,0,0.0,-0.08602053275937746
2015-12-14,-0.11177013976692221,1,0.11,-0.11177013976692221
2015-12-15,0.1827347877362388,2,0.555,-0.06969800726647066
2015-12-16,0.21432770317955252,2,0.9850000000000001,-0.02311260113125998
2015-12-17,0.19102856699352588,0,0.0,0.020144356977375464
2015-12-18,0.19102856699352588,0,0.0,0.0634013150860109
2015-12-19,0.22102406061592794,1,4.215,0.11094334371213235
2015-12-20,0.14602771644238427,1,0.19,0.1477716088848904
2015-12-21,0.19102856699352588,0,0.0,0.19102856699352586
2015-12-22,-0.010590413771564049,0,0.0,0.16341068106383974
2015-12-23,-0.010590413771564049,0,0.0,0.13127952149939454
2015-12-24,-0.010590413771564049,0,0.0,0.10247680996152453
2015-12-25,-0.010590413771564049,0,0.0,0.07367409842365455
2015-12-26,-0.010590413771564049,0,0.0,0.04058631636829855
2015-12-27,-0.010590413771564049,1,1.15,0.018212297766305927
2015-12-28,-0.010590413771564049,0,0.0,-0.010590413771564049
2015-12-29,0.07037562020085802,0,0.0,0.0009761625102105194
2015-12-30,0.07503711046634362,2,2.835,0.013208665972768758
2015-12-31,0.0631580671634786,1,2.725,0.02374416324920342
2016-01-01,0.07037562020085802,0,0.0,0.035310739530978005
2016-01-02,0.07037562020085802,0,0.0,0.04687731581275258
2016-01-03,0.07037562020085802,0,0.0,0.05844389209452717
2016-01-04,0.07293168297275186,1,0.07,0.07037562020085801
2016-01-05,-0.03836092073262049,0,0.0,0.054841828638932506
2016-01-06,-0.037184389375495785,1,0.73,0.03881018580438402
2016-01-07,-0.03953745208974519,2,0.8,0.024139397339637766
2016-01-08,-0.03836092073262049,0,0.0,0.008605605777712263
2016-01-09,-0.03836092073262049,0,0.0,-0.006928185784213239
2016-01-10,-0.03836092073262049,0,0.0,-0.022461977346138744
2016-01-11,-0.03836092073262049,0,0.0,-0.038360920732620506
2016-01-12,0.13543154854454156,1,0.11,-0.013533425121597355
2016-01-13,0.11604755734460921,0,0.0,0.008356852981274787
2016-01-14,0.11604755734460921,0,0.0,0.030583282900468273
2016-01-15,0.10405445389005359,2,1.4749999999999999,0.050928336417993145
2016-01-16,0.10307440982616406,1,0.11,0.07113338364067665
2016-01-17,0.10963671366312203,1,0.11,0.09227590284006844
2016-01-18,0.12804066079916485,1,0.325,0.11604755734460921
2016-01-19,0.15476074166839293,0,0.0,0.11880887064801653
2016-01-20,0.15480382882147176,1,0.73,0.1243454808589969
2016-01-21,0.15476074166839293,0,0.0,0.1298759357623946
2016-01-22,0.1512016952285427,2,0.7849999999999999,0.1366112559536073
2016-01-23,0.16805991687383204,1,2.725,0.1458948998175599
2016-01-24,0.15722783019831066,3,4.0649999999999995,0.15269363075115824
