Date,MOEX,BIST,EUFN,IXG,EEM,TBCG,BGEO,CGEO,HSBK,AAZ,FTMC,AKBNK
2021-09-13,4041.16,1438.28,16.298574447631836,70.087158203125,47.036903381347656,1423.7803955078125,1539.479248046875,615.0,8.70225715637207,129.80807495117188,23775.69921875,4.508019924163818
2021-09-14,4055.7,1434.43,16.1364803314209,69.39166259765625,46.64366149902344,1417.7979736328125,1503.5845947265625,610.0,8.641963958740234,126.313232421875,23687.30078125,4.508019924163818
2021-09-15,4065.53,1423.97,16.24994468688965,69.79663848876953,46.63472366333008,1381.9046630859375,1455.7249755859375,601.0,8.672110557556152,128.80953979492188,23432.80078125,4.436210632324219
2021-09-16,4045.1,1418.03,16.25804901123047,69.73500061035156,46.10742950439453,1411.8157958984375,1533.4967041015625,600.0,8.692207336425781,127.31175231933594,23632.80078125,4.420253753662109
2021-09-17,4035.17,1419.43,16.047330856323242,69.11874389648438,45.91080856323242,1407.82763671875,1535.49072265625,602.0,8.491231918334961,122.81840515136719,23658.900390625,4.428232669830322
2021-09-20,3969.61,1391.91,15.374634742736816,67.1819076538086,44.67747116088867,1332.05224609375,1467.6900634765625,595.0,8.340500831604004,122.81840515136719,23401.69921875,4.268656253814697
2021-09-21,3970.48,1385.61,15.439474105834961,67.3315658569336,45.00814437866211,1322.081787109375,1463.7017822265625,600.0,8.692207336425781,124.81546020507812,23611.400390625,4.292592525482178
2021-09-22,4030.98,1407.46,15.747453689575195,68.35281372070312,45.571197509765625,1373.9281005859375,1567.397216796875,606.0,8.491231918334961,123.81693267822266,23784.5,4.372380256652832
2021-09-23,4052.14,1401.46,16.063535690307617,69.6998062133789,45.92868423461914,1353.987060546875,1543.4674072265625,600.0,8.541475296020508,115.32947540283203,23830.19921875,4.228762149810791
2021-09-24,4038.23,1384.68,16.0311222076416,69.78783416748047,45.38351058959961,1369.93994140625,1549.449951171875,616.0,8.491231918334961,119.82284545898438,23608.80078125,4.101101875305176
