Date,TIBR,TIBR1M,TIBR3M,TIBR6M
2019-12-10,8.56,8.5679,8.0125,7.3565
2019-12-11,8.63,8.5696,8.03,7.3681
2019-12-12,9.01,8.5739,8.0482,7.3802
2019-12-13,9.07,8.5911,8.0708,7.3944
2019-12-16,9.06,8.6528,8.1403,7.4419
2019-12-17,9.04,8.6689,8.1632,7.4526
2019-12-18,9.06,8.6833,8.1858,7.467
2019-12-19,9.07,8.7011,8.2087,7.4814
2019-12-20,9.17,8.7186,8.2319,7.496
2019-12-23,9.11,8.789,8.3042,7.5465
2019-12-24,9.1,8.8021,8.3279,7.5569
2019-12-25,9.08,8.8142,8.3514,7.5718
2019-12-26,9.1,8.832,8.3748,7.5866
2019-12-27,9.09,8.8515,8.3926,7.6016
2019-12-30,9.12,8.9298,8.4457,7.6503
2019-12-31,9.16,8.9386,8.4639,7.6603
2020-01-03,9.13,8.9767,8.51,7.7003
2020-01-06,9.14,9.0321,8.5741,7.7557
2020-01-08,9.15,9.0858,8.6006,7.7746
2020-01-09,9.06,9.09,8.6189,7.7896
2020-01-10,9.08,9.1066,8.6362,7.804
2020-01-13,9.1,9.1402,8.7117,7.8597
2020-01-14,9.07,9.1417,8.7181,7.8685
2020-01-15,9.06,9.1415,8.7241,7.8769
2020-01-16,9.05,9.1411,8.7413,7.8914
2020-01-17,9.09,9.1407,8.7584,7.9058
2020-01-20,9.06,9.1438,8.8216,7.9628
2020-01-21,9.07,9.1337,8.8263,7.9708
2020-01-22,9.03,9.1338,8.8434,7.9787
2020-01-23,9.05,9.1326,8.86,7.993
2020-01-24,9.05,9.1307,8.8767,8.0074
2020-01-27,9.04,9.1262,8.9035,8.0648
2020-01-28,9.12,9.1226,8.9072,8.0721
2020-01-29,9.05,9.1247,8.9165,8.0798
2020-01-30,9.05,9.1245,8.9248,8.0942
2020-01-31,9.04,9.1222,8.9331,8.1087
2020-02-03,9.08,9.1105,8.9536,8.1678
2020-02-04,9.04,9.103,8.9572,8.1748
2020-02-05,9.04,9.1031,8.9632,8.1815
2020-02-06,9.05,9.1033,8.9691,8.1964
2020-02-07,9.03,9.0968,8.9752,8.2108
2020-02-10,9.03,9.0917,8.9962,8.2701
2020-02-11,9.04,9.0865,8.9988,8.2763
2020-02-12,9.01,9.0871,9.0048,8.2824
2020-02-13,9.02,9.0868,9.0104,8.2967
2020-02-14,9.02,9.0842,9.0162,8.3109
2020-02-17,9.03,9.08,9.0366,8.3711
2020-02-18,9.02,9.0729,9.0388,8.3767
2020-02-19,9.0,9.0733,9.0442,8.3823
