Date,G0GE,G1GE,G2GE,G3GE,G4GE,GAGE,GDAM,GDAZ,GDGE,GDRU,GDTR,GJGE
2018-04-10,,,,,,,133.275,121.26,224.033,618.757,610.838,
2018-04-11,,,,,,,133.315,120.951,224.229,620.666,610.564,
2018-04-12,,,,,,,133.149,120.961,224.094,626.074,612.202,
2018-04-13,,,,,,,133.187,120.993,224.133,624.616,613.784,
2018-04-16,,,,,,,133.127,120.812,224.248,620.743,610.812,
2018-04-17,,,,,,,133.112,120.798,224.287,623.449,610.385,
2018-04-18,,,,,,,132.554,120.527,224.339,626.171,614.6,
2018-04-19,,,,,,,132.393,120.491,224.225,625.509,614.586,
2018-04-20,,,,,,,132.191,120.19,224.293,623.549,613.409,
2018-04-23,,,,,,,129.577,119.635,224.133,625.08,610.845,
2018-04-24,,,,,,,131.428,119.66,224.278,626.323,611.742,
2018-04-25,,,,,,,130.986,119.2,224.334,623.251,610.842,
2018-04-26,,,,,,,131.451,119.323,224.335,624.502,611.794,
2018-04-27,,,,,,,131.101,119.086,224.373,625.177,610.359,
2018-04-30,,,,,,,130.755,118.965,224.489,627.408,610.068,
2018-05-01,,,,,,,130.042,118.14,224.528,625.113,607.005,
2018-05-02,,,,,,,129.506,117.619,223.132,622.12,601.441,
2018-05-03,,,,,,,129.593,116.479,222.332,619.211,597.281,
2018-05-04,,,,,,,129.768,116.233,222.008,617.649,592.798,
2018-05-07,,,,,,,129.778,116.758,222.249,618.025,593.131,
2018-05-08,,,,,,,130.711,116.313,221.83,616.149,587.724,
2018-05-09,,,,,,,130.321,115.851,221.884,612.86,584.606,
2018-05-10,,,,,,,130.76,118.05,221.413,621.494,589.089,
2018-05-11,,,,,,,130.932,118.547,221.614,624.361,589.755,
2018-05-14,,,,,,,131.279,119.04,221.733,623.512,587.973,
2018-05-15,,,,,,,130.956,118.538,221.544,618.68,572.0,
2018-05-16,,,,,,,131.027,118.198,221.372,619.906,573.094,
2018-05-17,,,,,,,131.304,117.169,220.578,618.473,571.391,
2018-05-18,,,,,,,131.198,116.997,220.618,618.291,569.817,
2018-05-21,,,,,,,131.162,116.911,220.479,617.378,564.432,
2018-05-22,,,,,,,131.213,117.896,220.808,620.678,568.324,
2018-05-23,,,,,,,131.298,118.27,220.848,623.62,571.316,
2018-05-24,,,,,,,131.809,119.276,221.825,627.43,578.258,
2018-05-25,,,,,,,131.863,120.601,221.864,627.623,584.604,
2018-05-28,,,,,,,131.931,120.646,221.984,627.912,584.912,
2018-05-29,,,,,,,131.813,121.002,222.389,628.49,592.155,
2018-05-30,,,,,,,131.883,120.669,222.389,627.732,592.562,
2018-05-31,,,,,,,131.627,119.664,222.429,626.102,586.4,
2018-06-01,,,,,,,131.498,119.014,222.522,624.32,577.434,
2018-06-04,,,,,,,131.847,119.016,223.269,624.696,578.748,
2018-06-05,,,,,,,131.801,119.114,222.897,624.429,577.267,
2018-06-06,,,,,,,131.77,119.01,222.937,624.052,575.349,
2018-06-07,,,,,,,131.763,119.121,222.977,623.351,581.028,
2018-06-08,,,,,,,131.808,118.588,223.016,621.199,579.051,
2018-06-11,,,,,,,131.9,118.561,223.135,621.242,576.078,
2018-06-12,,,,,,,131.729,118.081,223.566,619.864,571.763,
2018-06-13,,,,,,,131.57,117.553,223.429,619.3,568.668,
2018-06-14,,,,,,,131.321,118.442,223.402,622.313,571.224,
2018-06-15,,,,,,,130.268,118.152,223.061,622.068,567.247,
2018-06-18,,,,,,,130.455,117.685,223.031,619.917,561.182,
2018-06-19,,,,,,,129.778,117.231,221.967,618.882,557.41,
2018-06-20,,,,,,,130.157,118.16,222.007,621.9,564.937,
2018-06-21,,,,,,,129.717,118.31,222.046,622.508,568.773,
2018-06-22,,,,,,,130.173,118.981,222.423,624.901,578.477,
2018-06-25,,,,,,,130.23,119.082,222.999,625.106,573.082,
2018-06-26,,,,,,,129.886,118.843,222.74,624.842,571.438,
2018-06-27,,,,,,,129.974,118.927,222.206,625.68,573.764,
2018-06-28,,,,,,,129.994,119.087,222.906,627.072,576.725,
2018-06-29,,,,,,,130.641,119.344,223.443,630.218,578.643,
2018-06-30,,,,,,,130.664,119.36,223.482,630.315,578.746,
2018-07-02,,,,,,,130.827,119.326,223.439,630.547,577.54,
2018-07-03,,,,,,,131.14,119.72,223.595,634.454,578.547,
2018-07-04,,,,,,,131.163,119.735,223.635,634.552,578.651,
2018-07-05,,,,,,,131.3,120.173,223.458,637.192,581.433,
2018-07-06,,,,,,,131.876,120.559,223.955,637.175,585.343,
2018-07-09,,,,,,,132.084,121.346,223.964,639.857,588.694,
2018-07-10,,,,,,,132.066,121.712,224.22,641.371,573.739,
2018-07-11,,,,,,,132.262,121.681,224.399,641.206,567.474,
2018-07-12,,,,,,,132.874,121.83,224.405,641.754,562.515,
2018-07-13,,,,,,,133.311,122.161,225.164,644.932,567.701,
2018-07-16,,,,,,,133.254,121.991,225.13,643.846,567.356,
2018-07-17,,,,,,,133.214,121.662,224.87,641.915,571.543,
2018-07-18,,,,,,,133.293,121.654,225.086,638.878,573.721,
2018-07-19,,,,,,,133.307,121.608,225.022,638.351,576.424,
2018-07-20,,,,,,,133.34,121.638,224.669,638.994,578.83,
2018-07-23,,,,,,,133.552,121.65,225.121,638.519,580.331,
2018-07-24,,,,,,,133.549,121.618,225.181,638.881,571.455,
2018-07-25,,,,,,,133.786,121.864,225.375,638.044,575.647,
2018-07-26,,,,,,,134.035,122.018,225.418,639.644,576.672,
2018-07-27,,,,,,,134.029,122.134,225.333,640.652,575.142,
2018-07-30,,,,,,,133.98,122.127,225.758,641.841,573.1,
2018-07-31,,,,,,,134.01,122.257,226.005,642.387,570.951,
2018-08-01,,,,,,,133.98,121.819,225.588,640.386,569.982,
2018-08-02,,,,,,,133.81,121.192,224.617,636.771,561.739,
2018-08-03,,,,,,,133.672,121.176,225.193,638.489,566.987,
2018-08-06,,,,,,,133.67,121.164,225.104,637.956,566.656,
2018-08-07,,,,,,,133.7,121.261,225.292,637.0,564.96,
2018-08-08,,,,,,,133.449,120.944,224.968,628.83,563.341,
2018-08-09,,,,,,,132.786,120.403,224.554,627.129,557.115,
2018-08-10,,,,,,,131.567,119.742,220.732,625.429,531.825,
2018-08-13,,,,,,,130.742,118.32,221.529,623.551,504.855,
2018-08-14,,,,,,,130.928,118.64,222.637,626.978,523.188,
2018-08-15,,,,,,,130.848,118.338,223.383,626.705,521.81,
2018-08-16,,,,,,,130.914,118.025,223.548,626.609,536.469,
2018-08-17,,,,,,,130.968,118.44,223.359,626.807,533.424,
2018-08-20,,,,,,,130.951,118.402,223.565,626.354,531.138,
2018-08-21,,,,,,,131.127,118.518,223.63,626.028,538.153,
2018-08-22,,,,,,,131.366,119.445,223.721,627.582,546.617,
2018-08-23,,,,,,,131.501,119.579,223.84,627.293,547.183,
2018-08-24,,,,,,,131.527,119.564,223.458,628.052,544.623,
2018-08-27,,,,,,,131.617,119.726,223.693,628.304,544.116,
2018-08-28,,,,,,,131.71,120.001,223.93,630.065,543.23,
2018-08-29,,,,,,,132.046,120.044,223.623,630.031,534.368,
2018-08-30,,,,,,,132.192,120.861,223.623,630.323,525.608,
2018-08-31,,,,,,,132.296,120.8,222.524,629.973,519.792,
2018-09-03,,,,,,,132.364,120.847,222.643,630.266,520.105,
2018-09-04,,,,,,,131.993,120.846,222.221,627.031,514.489,
2018-09-05,,,,,,,131.938,120.892,223.234,627.145,522.444,
2018-09-06,,,,,,,132.049,121.23,222.326,626.786,531.977,
2018-09-07,,,,,,,132.1,121.497,223.61,625.461,535.755,
2018-09-10,,,,,,,132.08,121.203,223.708,621.699,533.734,
2018-09-11,,,,,,,132.0,121.219,223.312,623.339,533.406,
2018-09-12,,,,,,,132.069,121.361,223.351,625.11,536.215,
2018-09-13,,,,,,,132.307,121.736,223.751,626.6,555.583,
2018-09-14,,,,,,,132.415,122.259,223.568,627.694,562.407,
2018-09-17,,,,,,,132.239,122.3,223.573,626.38,557.235,
2018-09-18,,,,,,,132.311,122.131,223.92,626.137,554.512,
2018-09-19,,,,,,,132.004,121.816,223.962,624.852,559.447,
2018-09-20,,,,,,,132.186,121.852,223.172,626.528,564.752,
2018-09-21,,,,,,,132.342,122.067,223.939,627.229,563.59,
2018-09-24,,,,,,,132.557,122.07,223.9,628.149,567.371,
2018-09-25,,,,,,,132.65,122.152,222.477,628.918,568.54,
2018-09-26,,,,,,,132.752,122.758,223.516,630.712,569.078,
2018-09-27,,,,,,,132.827,123.489,223.691,634.218,573.782,
2018-09-28,,,,,,,132.958,123.917,223.835,636.484,573.806,
2018-09-30,,,,,,,133.004,123.948,223.914,636.68,574.015,
2018-10-01,,,,,,,132.973,124.527,224.187,637.191,572.6,
2018-10-02,,,,,,,133.017,124.652,223.993,636.476,567.546,
2018-10-03,,,,,,,132.963,124.665,224.037,636.116,564.052,
2018-10-04,,,,,,,132.172,123.101,224.464,629.527,560.043,
2018-10-05,,,,,,,131.968,123.296,224.009,629.277,555.193,
2018-10-08,,,,,,,132.038,123.343,224.128,629.573,555.509,
2018-10-09,,,,,,,131.453,122.748,223.795,627.503,555.356,
2018-10-10,,,,,,,131.855,122.442,223.895,628.094,557.582,
2018-10-11,,,,,,,131.839,122.099,223.195,627.742,560.034,
2018-10-12,,,,,,,131.974,122.247,224.183,628.879,565.973,
2018-10-15,,,,,,,132.098,122.311,224.094,630.468,567.792,
2018-10-16,,,,,,,132.19,122.448,224.096,631.224,565.713,
2018-10-17,,,,,,,132.225,122.688,224.136,630.333,569.289,
2018-10-18,,,,,,,132.267,122.226,224.708,629.086,568.962,
2018-10-19,,,,,,,132.181,121.803,224.976,628.841,566.564,
2018-10-22,,,,,,,132.249,121.754,224.422,629.446,567.43,
2018-10-23,,,,,,,132.021,121.475,224.586,627.945,564.034,
2018-10-24,,,,,,,132.058,121.424,224.651,630.052,567.129,
2018-10-25,,,,,,,132.258,120.969,224.99,629.117,569.303,
2018-10-26,,,,,,,132.223,120.756,224.913,629.511,570.278,
2018-10-29,,,,,,,132.638,121.136,225.132,630.15,571.752,
2018-10-30,,,,,,,132.637,120.762,225.273,630.145,572.07,
2018-10-31,,,,,,,132.445,120.573,225.417,629.542,568.175,
2018-11-01,,,,,,,132.622,120.334,225.329,629.538,568.386,
2018-11-02,,,,,,,132.748,120.64,225.196,628.952,572.935,
2018-11-05,,,,,,,132.765,120.66,225.476,628.387,576.654,
2018-11-06,,,,,,,132.854,120.601,225.92,628.38,577.864,
2018-11-07,,,,,,,132.869,120.728,225.931,627.698,579.646,
2018-11-08,,,,,,,132.929,120.234,225.513,624.628,576.281,
2018-11-09,,,,,,,132.901,120.083,225.446,623.072,576.201,
2018-11-12,,,,,,,132.971,120.13,225.569,623.369,576.52,
2018-11-13,,,,,,,133.025,119.407,225.846,623.065,575.496,
2018-11-14,,,,,,,133.025,119.147,226.188,624.931,576.024,
2018-11-15,,,,,,,133.216,119.314,225.8,626.424,574.75,
2018-11-16,,,,,,,133.349,119.676,225.785,625.603,574.085,
2018-11-19,,,,,,,133.403,119.75,226.401,626.452,573.964,
2018-11-20,,,,,,,133.136,119.033,226.005,624.541,565.072,
2018-11-21,,,,,,,132.941,119.068,226.063,625.457,566.027,
2018-11-22,,,,,,,132.964,119.084,226.104,625.556,566.133,
2018-11-23,,,,,,,132.802,118.184,226.085,625.186,565.171,
2018-11-26,,,,,,,132.915,117.979,226.251,621.108,565.523,
2018-11-27,,,,,,,132.634,117.664,226.236,620.85,560.566,
2018-11-28,,,,,,,132.553,117.572,226.24,621.243,562.271,
2018-11-29,,,,,,,132.821,118.457,226.552,626.215,569.114,
2018-11-30,,,,,,,132.89,118.62,226.606,626.06,569.146,
2018-12-03,,,,,,,133.142,119.842,226.902,629.981,573.483,
2018-12-04,,,,,,,133.383,121.036,227.179,630.65,572.301,
2018-12-05,,,,,,,133.406,121.052,227.22,630.749,572.408,
2018-12-06,,,,,,,133.223,121.138,227.176,629.132,571.695,
2018-12-07,,,,,,,133.349,121.528,227.043,631.122,575.915,
2018-12-10,,,,,,,133.315,121.783,227.273,631.081,576.31,
2018-12-11,,,,,,,133.452,121.887,225.723,631.355,577.947,
2018-12-12,,,,,,,133.506,122.536,227.233,631.926,579.652,
2018-12-13,,,,,,,133.617,123.292,227.643,633.078,581.587,
2018-12-14,,,,,,,133.64,123.486,227.684,633.76,581.694,
2018-12-17,,,,,,,133.856,123.567,227.905,634.723,584.526,
2018-12-18,,,,,,,133.833,123.448,227.938,634.979,586.351,
2018-12-19,,,,,,,133.938,122.743,228.121,635.13,595.377,
2018-12-20,,,,,,,133.949,122.606,228.114,637.66,599.982,
2018-12-21,,,,,,,134.07,122.348,227.812,637.366,598.178,
2018-12-24,,,,,,,134.052,122.437,228.313,637.615,598.434,
2018-12-26,,,,,,,134.099,122.469,228.395,636.794,598.654,
2018-12-27,,,,,,,134.072,122.695,227.779,636.743,599.116,
2018-12-28,,,,,,,134.203,122.665,228.116,636.327,598.866,
2018-12-31,,,,,,,134.177,122.708,228.202,636.683,599.462,
2019-01-02,,,,,,,134.085,122.496,228.155,638.295,596.892,
2019-01-03,,,,,,,134.289,123.013,228.658,643.264,594.549,
2019-01-04,,,,,,,134.569,123.716,228.452,646.95,597.452,
2019-01-07,,,,,,,134.97,123.919,229.021,651.507,598.328,
2019-01-08,,,,,,,135.08,123.679,228.955,649.74,591.491,
2019-01-09,,,,,,,135.326,123.901,228.979,649.908,591.929,
2019-01-10,,,,,,,135.135,123.454,228.629,648.033,591.887,
2019-01-11,,,,,,,135.337,123.668,228.889,649.103,590.64,
2019-01-14,,,,,,,135.352,123.378,228.789,648.825,587.107,
2019-01-15,,,,,,,135.569,123.719,229.021,650.335,591.02,
2019-01-16,,,,,,,135.871,124.53,229.347,651.688,595.923,
2019-01-17,,,,,,,135.82,124.871,229.74,651.225,598.592,
2019-01-18,,,,,,,136.855,125.604,229.992,652.045,605.806,
2019-01-21,,,,,,,136.926,125.651,230.115,652.346,606.127,
2019-01-22,,,,,,,137.223,125.678,230.091,653.069,604.264,
2019-01-23,,,,,,,137.381,125.605,230.214,653.806,609.749,
2019-01-24,,,,,,,137.674,125.783,230.437,655.459,613.923,
2019-01-25,,,,,,,137.56,125.601,230.182,655.501,612.458,
2019-01-28,,,,,,,137.526,124.805,230.346,654.049,606.941,
2019-01-29,,,,,,,137.218,124.727,230.331,654.0,608.473,
2019-01-30,,,,,,,137.279,125.187,230.443,653.987,611.652,
2019-01-31,,,,,,,137.844,126.231,230.999,657.756,619.822,
2019-02-01,,,,,,,137.803,126.518,230.314,655.304,616.548,
2019-02-04,,,,,,,137.837,126.754,231.345,654.372,614.961,
2019-02-05,,,,,,,138.247,127.581,231.386,656.023,621.795,
2019-02-06,,,,,,,138.472,127.503,231.389,656.421,618.738,
2019-02-07,,,,,,,138.478,127.182,231.2,656.16,614.63,
2019-02-08,,,,,,,138.424,127.051,231.344,656.078,612.816,
2019-02-11,,,,,,,138.397,126.917,231.488,656.329,609.909,
2019-02-12,,,,,,,138.419,127.271,231.755,656.754,613.454,
2019-02-13,,,,,,,138.691,127.764,231.753,656.353,614.581,
2019-02-14,,,,,,,138.792,127.586,231.749,652.034,612.914,
2019-02-15,,,,,,,138.672,127.609,231.79,653.832,613.428,
2019-02-18,,,,,,,138.742,127.655,231.913,654.133,613.751,
2019-02-19,,,,,,,138.906,128.033,231.439,655.67,612.796,
2019-02-20,,,,,,,139.003,128.06,231.632,657.056,611.667,
2019-02-21,,,,,,,139.023,127.813,231.317,656.997,610.992,
2019-02-22,,,,,,,139.069,127.903,231.396,657.989,610.135,
2019-02-25,,,,,,,139.257,127.964,231.667,659.948,613.503,
2019-02-26,,,,,,,139.307,127.836,231.749,659.905,615.063,
2019-02-27,,,,,,,139.524,127.851,231.792,659.873,616.892,
2019-02-28,,,,,,,139.9,127.821,231.643,661.416,616.715,
2019-03-01,,,,,,,139.61,127.415,231.647,659.938,612.228,
2019-03-04,,,,,,,139.729,127.403,231.77,660.609,611.507,
2019-03-05,,,,,,,139.572,127.107,231.811,660.28,610.35,
2019-03-06,,,,,,,139.644,127.338,231.886,661.202,610.705,
2019-03-07,,,,,,,139.737,127.426,231.979,662.223,608.439,
2019-03-08,,,,,,,139.733,127.147,231.595,661.788,606.576,
2019-03-11,,,,,,,139.837,127.811,231.907,663.67,607.794,
2019-03-12,,,,,,,140.029,128.238,232.21,664.866,612.278,
2019-03-13,,,,,,,140.056,128.372,232.126,664.722,613.823,
2019-03-14,,,,,,,140.078,128.49,232.18,664.709,614.009,
2019-03-15,,,,,,,140.213,128.665,232.094,664.744,615.299,
