Date,Volume
1/14/2021,"4,810,000,000"
1/15/2021,"4,760,000,000"
1/18/2021,"4,680,000,000"
1/19/2021,"4,840,000,000"
1/20/2021,"4,560,000,000"
1/21/2021,"5,610,000,000"
1/22/2021,"4,690,000,000"
1/25/2021,"4,810,000,000"
1/26/2021,"5,300,000,000"
1/27/2021,"5,790,000,000"
1/28/2021,"5,830,000,000"
1/29/2021,"4,510,000,000"
2/1/2021,"3,820,000,000"
2/2/2021,"4,770,000,000"
2/3/2021,"5,130,000,000"
2/4/2021,"4,220,000,000"
2/5/2021,"3,820,000,000"
2/8/2021,"6,520,000,000"
2/9/2021,"5,430,000,000"
2/10/2021,"3,950,000,000"
2/11/2021,"3,340,000,000"
2/12/2021,"3,020,000,000"
2/15/2021,"2,960,000,000"
2/16/2021,"5,630,000,000"
2/17/2021,"5,050,000,000"
2/18/2021,"4,680,000,000"
2/19/2021,"4,240,000,000"
2/22/2021,"4,050,000,000"
2/23/2021,"5,100,000,000"
2/24/2021,"4,250,000,000"
2/25/2021,"4,430,000,000"
2/26/2021,"3,710,000,000"
3/1/2021,"3,240,000,000"
3/2/2021,"4,700,000,000"
3/3/2021,"4,180,000,000"
3/4/2021,"3,300,000,000"
3/5/2021,"3,400,000,000"
3/8/2021,"3,560,000,000"
3/9/2021,"3,050,000,000"
3/10/2021,"3,000,000,000"
3/11/2021,"3,100,000,000"
3/12/2021,"2,620,000,000"
3/15/2021,"2,090,000,000"
3/16/2021,"2,170,000,000"
3/17/2021,"2,850,000,000"
3/18/2021,"3,570,000,000"
3/19/2021,"3,190,000,000"
3/22/2021,"1,960,000,000"
3/23/2021,"5,740,000,000"
3/24/2021,"4,120,000,000"
3/25/2021,"3,510,000,000"
3/26/2021,"2,950,000,000"
3/29/2021,"2,670,000,000"
3/30/2021,"3,350,000,000"
3/31/2021,"2,340,000,000"
4/1/2021,"3,170,000,000"
4/2/2021,"2,190,000,000"
4/5/2021,"2,560,000,000"
4/6/2021,"2,650,000,000"
4/7/2021,"2,780,000,000"
4/8/2021,"2,100,000,000"
4/9/2021,"2,870,000,000"
4/12/2021,"2,300,000,000"
4/13/2021,"2,860,000,000"
4/14/2021,"2,630,000,000"
4/15/2021,"4,190,000,000"
4/16/2021,"2,320,000,000"
4/19/2021,"2,490,000,000"
4/20/2021,"2,560,000,000"
4/21/2021,"2,310,000,000"
4/22/2021,"2,090,000,000"
4/26/2021,"1,950,000,000"
4/27/2021,"1,870,000,000"
4/28/2021,"1,690,000,000"
4/29/2021,"1,550,000,000"
4/30/2021,"1,840,000,000"
5/3/2021,"1,950,000,000"
5/4/2021,"2,280,000,000"
5/5/2021,"1,790,000,000"
5/6/2021,"2,290,000,000"
5/7/2021,"4,000,000,000"
5/10/2021,"2,490,000,000"
5/11/2021,"2,480,000,000"
5/12/2021,"922,310,000"
5/17/2021,"1,990,000,000"
5/18/2021,"2,160,000,000"
5/20/2021,"2,330,000,000"
5/21/2021,"1,970,000,000"
5/24/2021,"2,020,000,000"
5/25/2021,"3,340,000,000"
