Date,Price,,,
12/22/2023,93.58,,,
12/27/2023,93.57,,,
12/28/2023,93.63,,,
12/29/2023,93.62,,,
1/2/2024,93.59,,,
1/3/2024,93.53,,,
1/4/2024,93.58,,,
1/5/2024,93.49,,,
1/8/2024,93.43,,,
1/9/2024,93.4,,,
1/10/2024,93.36,,,
1/11/2024,93.36,,,
1/12/2024,93.42,,,
1/15/2024,93.38,,,
1/16/2024,93.5,,,
1/17/2024,93.4,,,
1/18/2024,93.37,,,
1/19/2024,93.29,,,
1/22/2024,93.25,,,
1/23/2024,93.28,,,
1/24/2024,93.32,,,
1/25/2024,93.07,,,
1/26/2024,93.12,,,
1/29/2024,93.1,,,
1/30/2024,93.1,,,
1/31/2024,93.11,,,
2/1/2024,93.23,,,
2/2/2024,93.26,,,
2/5/2024,92.98,,,
2/6/2024,92.97,,,
2/7/2024,93.05,,,
2/8/2024,93.06,,,
2/9/2024,93.04,,,
2/12/2024,93.05,,,
2/13/2024,93.03,,,
2/14/2024,93.01,,,
2/15/2024,93.02,,,
2/16/2024,93.02,,,
2/19/2024,92.99,,,
2/20/2024,92.99,,,
2/21/2024,93.03,,,
2/22/2024,93.05,,,
2/23/2024,93,,,
2/26/2024,92.89,,,
2/27/2024,92.84,,,
2/28/2024,92.74,,,
2/29/2024,92.84,,,
3/1/2024,92.76,,,
3/4/2024,92.83,,,
3/5/2024,92.81,,,
3/6/2024,92.83,,,
3/7/2024,92.86,,,
3/8/2024,92.79,,,
3/11/2024,92.8,,,
3/12/2024,92.82,,,
3/13/2024,92.83,,,
3/14/2024,92.86,,,
3/15/2024,92.76,,,
3/18/2024,92.7,,,
3/19/2024,92.72,,,
3/20/2024,92.75,,,
3/21/2024,92.89,,,
3/22/2024,92.87,,,
3/25/2024,92.9,,,
3/26/2024,92.88,,,
3/27/2024,92.89,,,
3/28/2024,92.9,,,
4/2/2024,92.83,,,
4/3/2024,92.76,,,
4/4/2024,92.79,,,
4/5/2024,92.74,,,
4/8/2024,92.72,,,
4/9/2024,92.78,,,
4/10/2024,92.75,,,
4/11/2024,92.56,,,
4/12/2024,92.64,,,
4/15/2024,92.55,,,
4/16/2024,92.48,,,
4/17/2024,92.45,,,
4/18/2024,92.43,,,
4/19/2024,92.52,,,
4/22/2024,92.5,,,
4/23/2024,92.53,,,
4/24/2024,92.45,,,
4/25/2024,92.45,,,
4/26/2024,92.48,,,
4/29/2024,92.51,,,
4/30/2024,92.53,,,
5/2/2024,92.32,,,
5/3/2024,92.35,,,
5/6/2024,92.38,,,
5/7/2024,92.43,,,
5/8/2024,92.16,,,
5/9/2024,91.84,,,
5/10/2024,92.03,,,
5/13/2024,91.89,,,
5/14/2024,92.03,,,
5/15/2024,91.62,,,
5/16/2024,91.15,,,
5/17/2024,91.02,,,
5/20/2024,90.88,,,
5/21/2024,90.92,,,
5/22/2024,91.07,,,
5/23/2024,91,,,
5/24/2024,90.97,,,
5/27/2024,91.04,,,
5/28/2024,90.92,,,
5/29/2024,90.98,,,
5/30/2024,90.96,,,
5/31/2024,90.98,,,
6/3/2024,90.86,,,
6/4/2024,91.15,,,
6/5/2024,90.96,,,
6/6/2024,90.93,,,
6/7/2024,91.06,,,
6/10/2024,90.93,,,
6/11/2024,91.03,,,
6/12/2024,90.89,,,
6/13/2024,90.94,,,
6/14/2024,90.63,,,
6/17/2024,90.98,,,
6/18/2024,90.98,,,
6/19/2024,91.35,,,
6/20/2024,91.15,,,
6/21/2024,91.38,,,
6/24/2024,91.15,,,
6/25/2024,91.45,,,
6/26/2024,91.4,,,
6/27/2024,91.37,,,
6/28/2024,91.77,,,
7/1/2024,91.77,,,
7/2/2024,91.33,,,
7/3/2024,91.52,,,
7/4/2024,91.6,,,
7/5/2024,91.55,,,
7/8/2024,91.67,,,
7/9/2024,91.73,,,
7/10/2024,91.72,,,
7/11/2024,91.75,,,
7/12/2024,91.89,,,
