Date,Price,,,,
10/30/2019,118,,,,
10/31/2019,119.13,,,,
11/1/2019,119.75,,,,
11/4/2019,119.37,,,,
11/5/2019,118.09,,,,
11/6/2019,118.38,,,,
11/7/2019,118.12,,,,
11/8/2019,117.75,,,,
11/11/2019,117.99,,,,
11/12/2019,117.88,,,,
11/13/2019,118.12,,,,
11/14/2019,118.63,,,,
11/15/2019,119.25,,,,
11/18/2019,119.51,,,,
11/19/2019,120.41,,,,
11/20/2019,120.63,,,,
11/21/2019,122,,,,
11/22/2019,122.25,,,,
11/25/2019,122,,,,
11/26/2019,122.25,,,,
11/27/2019,122.5,,,,
11/28/2019,122.75,,,,
11/29/2019,122.75,,,,
12/2/2019,121.75,,,,
12/3/2019,121.88,,,,
12/4/2019,120.39,,,,
12/5/2019,123.25,,,,
12/6/2019,123.5,,,,
12/9/2019,123.88,,,,
12/10/2019,124.12,,,,
12/11/2019,125.12,,,,
12/12/2019,125.38,,,,
12/13/2019,125.25,,,,
12/16/2019,125.38,,,,
12/17/2019,126.88,,,,
12/18/2019,127.12,,,,
12/19/2019,125.75,,,,
12/20/2019,124.88,,,,
12/23/2019,125.25,,,,
12/24/2019,125.5,,,,
12/25/2019,125.5,,,,
12/26/2019,125.12,,,,
12/27/2019,125.38,,,,
12/30/2019,125.25,,,,
12/31/2019,125.5,,,,
1/1/2020,125.5,,,,
1/2/2020,125.25,,,,
1/3/2020,124.5,,,,
1/6/2020,124.25,,,,
1/7/2020,123.88,,,,
1/8/2020,124.25,,,,
1/9/2020,124.25,,,,
1/10/2020,124.38,,,,
1/13/2020,124.75,,,,
1/14/2020,125.25,,,,
1/15/2020,125.38,,,,
1/16/2020,126.25,,,,
1/17/2020,126,,,,
1/20/2020,126.38,,,,
1/21/2020,126.88,,,,
1/22/2020,127,,,,
1/23/2020,127.12,,,,
1/24/2020,127.25,,,,
1/27/2020,127,,,,
1/28/2020,127.62,,,,
1/29/2020,127.62,,,,
1/30/2020,129.7,,,,
1/31/2020,130.88,,,,
2/3/2020,130.25,,,,
2/4/2020,128.75,,,,
2/5/2020,128.62,,,,
2/6/2020,128.5,,,,
2/7/2020,128.38,,,,
2/10/2020,129.25,,,,
2/11/2020,130.5,,,,
2/12/2020,130.75,,,,
2/13/2020,130.62,,,,
2/14/2020,131.25,,,,
2/17/2020,131.12,,,,
2/18/2020,131.38,,,,
2/19/2020,131.5,,,,
2/20/2020,131.88,,,,
2/21/2020,133.12,,,,
2/24/2020,134.25,,,,
2/25/2020,133.62,,,,
2/26/2020,133,,,,
2/27/2020,132.62,,,,
2/28/2020,129.12,,,,
3/2/2020,131,,,,
3/3/2020,131.62,,,,
3/4/2020,133.62,,,,
3/5/2020,135.5,,,,
3/6/2020,134.88,,,,
3/9/2020,127,,,,
3/10/2020,128.75,,,,
3/11/2020,128.88,,,,
3/12/2020,119.38,,,,
3/13/2020,121,,,,
3/16/2020,118.25,,,,
3/17/2020,117.75,,,,
3/18/2020,107,,,,
3/19/2020,104.62,,,,
3/20/2020,114,,,,
3/23/2020,111.38,,,,
3/24/2020,117.38,,,,
3/25/2020,123.62,,,,
3/26/2020,125.38,,,,
3/27/2020,124.88,,,,
3/30/2020,119.3,,,,
3/31/2020,121,,,,
4/1/2020,119.25,,,,
4/2/2020,123,,,,
4/3/2020,124.75,,,,
4/6/2020,125.25,,,,
4/7/2020,125.38,,,,
4/8/2020,124,,,,
4/9/2020,125.12,,,,
4/10/2020,125.12,,,,
4/13/2020,125.62,,,,
4/14/2020,125.5,,,,
4/15/2020,123.38,,,,
4/16/2020,124.25,,,,
4/17/2020,124.5,,,,
4/20/2020,123.5,,,,
4/21/2020,119.62,,,,
4/22/2020,120.12,,,,
4/23/2020,123.12,,,,
