Date,GDTR
2/24/2020,702.199
2/25/2020,701.008
2/26/2020,700.042
2/27/2020,691.617
2/28/2020,675.311
2/29/2020,675.536
3/2/2020,684.281
3/3/2020,698.957
3/4/2020,708.768
3/5/2020,706.116
3/6/2020,694.994
3/9/2020,679.673
3/10/2020,689.971
3/11/2020,680.203
3/12/2020,653.256
3/13/2020,655.981
3/16/2020,631.103
3/17/2020,624.421
3/18/2020,599.463
3/19/2020,591.932
3/20/2020,604.661
3/23/2020,597.454
3/24/2020,603.657
3/25/2020,630.89
3/26/2020,635.305
3/27/2020,629.357
3/30/2020,616.062
3/31/2020,616.971
4/1/2020,602.253
4/2/2020,597.023
4/3/2020,584.416
4/6/2020,579.9
4/7/2020,595.364
4/8/2020,599.308
4/9/2020,623.636
4/13/2020,624.095
4/14/2020,622.937
4/15/2020,612.91
4/16/2020,609.188
4/17/2020,609.198
4/20/2020,619.868
4/21/2020,619.214
4/22/2020,619.617
4/23/2020,620.424
4/24/2020,627.84
4/27/2020,635.47
4/28/2020,634.997
4/29/2020,635.653
4/30/2020,638.321
5/1/2020,634.835
5/4/2020,632.678
5/5/2020,637.128
5/6/2020,629.167
5/7/2020,625.318
5/8/2020,625.924
5/11/2020,631.819
5/12/2020,639.473
5/13/2020,639.646
5/14/2020,631.581
5/15/2020,635.802
5/18/2020,642.693
5/19/2020,646.147
5/20/2020,659.018
5/21/2020,663.48
5/22/2020,658.883
5/25/2020,659.231
5/26/2020,661.573
5/27/2020,659.466
5/28/2020,656.916
5/29/2020,654.641
5/31/2020,654.759
6/1/2020,660.711
6/2/2020,667.569
6/3/2020,680.395
6/4/2020,680.966
6/5/2020,686.688
6/8/2020,689.891
6/9/2020,685.255
6/10/2020,685.559
6/11/2020,676.041
6/12/2020,677.094
6/15/2020,673.378
6/16/2020,682.538
6/17/2020,684.836
6/18/2020,684.15
6/19/2020,684.792
6/22/2020,683.024
6/23/2020,682.352
6/24/2020,678.441
6/25/2020,675.918
6/26/2020,680.007
6/29/2020,678.775
6/30/2020,678.617
7/1/2020,680.731
7/2/2020,685.291
7/3/2020,685.408
7/6/2020,684.472
7/7/2020,681.371
7/8/2020,678.471
7/9/2020,678.19
7/10/2020,673.475
7/13/2020,674.88
7/14/2020,673.296
7/15/2020,675.495
7/16/2020,675.805
7/17/2020,676.444
7/20/2020,677.839
7/21/2020,683.84
7/22/2020,686.985
7/23/2020,691.817
7/24/2020,688.089
7/27/2020,689.174
7/28/2020,675.728
7/29/2020,669.924
7/30/2020,655.813
7/31/2020,659.772
8/3/2020,666.587
8/4/2020,658.478
8/5/2020,654.789
8/6/2020,645.869
8/7/2020,652.312
8/10/2020,659.063
8/11/2020,669.32
8/12/2020,672.125
8/13/2020,673.222
8/14/2020,667.793
8/17/2020,664.588
8/18/2020,664.179
8/19/2020,673.127
8/20/2020,670.678
8/21/2020,675.218
8/24/2020,676.848
8/25/2020,676.795
8/26/2020,676.729
8/27/2020,679.621
8/28/2020,680.807
8/31/2020,681.6
9/1/2020,684.223
9/2/2020,691.9
9/3/2020,687.557
9/4/2020,685.919
9/7/2020,686.274
9/8/2020,683.542
9/9/2020,685.316
9/10/2020,688.083
9/11/2020,688.149
9/14/2020,684.451
9/15/2020,686.358
9/16/2020,686.513
9/17/2020,682.166
9/18/2020,679.808
9/21/2020,669.688
9/22/2020,667.744
9/23/2020,667.336
9/24/2020,667.349
9/25/2020,676.004
9/28/2020,672.417
9/29/2020,671.373
9/30/2020,675.657
10/1/2020,680.823
10/2/2020,680.476
10/5/2020,685.801
10/6/2020,687.085
10/7/2020,681.203
10/8/2020,675.085
10/9/2020,681.968
10/12/2020,682.326
10/13/2020,684.203
10/14/2020,681.31
10/15/2020,678.729
10/16/2020,680.709
10/19/2020,684.481
10/20/2020,684.992
10/21/2020,688.9
10/22/2020,682.245
10/23/2020,682.433
10/26/2020,676.341
10/27/2020,677.541
10/28/2020,671.136
10/29/2020,671.175
10/30/2020,669.788
10/31/2020,669.886
11/2/2020,666.991
11/3/2020,666.07
11/4/2020,672.101
11/5/2020,684.271
11/6/2020,679.893
11/9/2020,702.917
11/10/2020,701.74
11/11/2020,701.861
11/12/2020,724.33
11/13/2020,726.784
11/16/2020,728.821
11/17/2020,723.68
11/18/2020,729.379
11/19/2020,735.836
11/20/2020,733.198
11/23/2020,729.657
11/24/2020,728.76
11/25/2020,726.991
11/26/2020,727.111
11/27/2020,732.11
11/30/2020,732.27
12/1/2020,733.014
12/2/2020,735.3
12/3/2020,739.125
12/4/2020,742.017
