Date,GDAM
4/2/2019,141.217
4/3/2019,141.215
4/4/2019,141.138
4/5/2019,141.15
4/8/2019,141.248
4/9/2019,141.351
4/10/2019,141.409
4/11/2019,141.316
4/12/2019,141.423
4/15/2019,141.414
4/16/2019,141.473
4/17/2019,141.573
4/18/2019,141.556
4/22/2019,141.653
4/23/2019,141.715
4/24/2019,141.735
4/25/2019,141.694
4/26/2019,141.727
4/29/2019,141.851
4/30/2019,141.954
5/1/2019,142.029
5/2/2019,142.176
5/3/2019,142.187
5/6/2019,142.109
5/7/2019,142.409
5/8/2019,142.381
5/9/2019,142.43
5/10/2019,142.518
5/13/2019,142.371
5/14/2019,142.51
5/15/2019,142.732
5/16/2019,142.851
5/17/2019,142.828
5/20/2019,143.237
5/21/2019,143.347
5/22/2019,143.437
5/23/2019,143.431
5/24/2019,143.528
5/27/2019,143.601
5/28/2019,143.621
5/29/2019,143.774
5/30/2019,143.815
5/31/2019,143.756
6/3/2019,143.742
6/4/2019,143.747
6/5/2019,143.933
6/6/2019,143.956
6/7/2019,144.187
6/10/2019,144.318
6/11/2019,144.336
6/12/2019,144.298
6/13/2019,144.328
6/14/2019,144.363
6/17/2019,144.563
6/18/2019,145.038
6/19/2019,145.093
6/20/2019,145.679
6/21/2019,145.555
6/24/2019,145.79
6/25/2019,145.891
6/26/2019,145.946
6/27/2019,146.116
6/28/2019,146.219
6/30/2019,146.267
7/1/2019,146.657
7/2/2019,146.755
7/3/2019,146.814
7/4/2019,146.838
7/5/2019,146.822
7/8/2019,146.9
7/9/2019,146.712
7/10/2019,146.732
7/11/2019,146.803
7/12/2019,146.837
7/15/2019,146.819
7/16/2019,146.92
7/17/2019,146.868
7/18/2019,146.88
7/19/2019,146.953
7/22/2019,147.079
7/23/2019,147.098
7/24/2019,147.176
7/25/2019,147.21
7/26/2019,147.409
7/29/2019,147.491
7/30/2019,147.418
7/31/2019,147.363
8/1/2019,147.068
8/2/2019,147.092
8/5/2019,146.979
8/6/2019,147.051
8/7/2019,147.056
8/8/2019,147.276
8/9/2019,147.319
8/12/2019,146.973
8/13/2019,147.185
8/14/2019,147.126
8/15/2019,146.917
8/16/2019,146.872
8/19/2019,146.783
8/20/2019,146.727
8/21/2019,146.828
8/22/2019,147.01
8/23/2019,147.078
8/26/2019,146.936
8/27/2019,147.268
8/28/2019,147.421
8/29/2019,147.46
8/30/2019,147.457
8/31/2019,147.481
9/2/2019,147.529
9/3/2019,147.438
9/4/2019,147.512
9/5/2019,147.692
9/6/2019,147.635
9/9/2019,147.841
9/10/2019,147.833
9/11/2019,148.158
9/12/2019,148.279
9/13/2019,148.174
9/16/2019,148.286
9/17/2019,148.325
9/18/2019,148.422
9/19/2019,148.956
9/20/2019,149.209
9/23/2019,149.47
9/24/2019,149.601
9/25/2019,149.441
9/26/2019,149.594
9/27/2019,149.52
9/30/2019,149.642
10/1/2019,149.415
10/2/2019,149.163
10/3/2019,148.807
10/4/2019,149.368
10/7/2019,149.351
10/8/2019,149.356
10/9/2019,149.288
10/10/2019,149.058
10/11/2019,149.057
10/14/2019,149.122
10/15/2019,149.451
10/16/2019,149.38
10/17/2019,149.478
10/18/2019,149.591
10/21/2019,149.52
10/22/2019,149.478
10/23/2019,149.562
10/24/2019,149.633
10/25/2019,149.632
10/28/2019,149.466
10/29/2019,149.644
10/30/2019,149.548
10/31/2019,149.757
11/1/2019,149.773
11/4/2019,150.015
11/5/2019,149.705
11/6/2019,149.579
11/7/2019,149.416
11/8/2019,149.433
11/11/2019,149.498
11/12/2019,149.167
11/13/2019,149.314
11/14/2019,149.786
11/15/2019,149.998
11/18/2019,150.115
11/19/2019,150.244
11/20/2019,150.524
11/21/2019,150.674
11/22/2019,150.776
