Date,GDGE
6/23/2021,101.845
6/24/2021,101.689
6/25/2021,101.643
6/28/2021,101.663
6/29/2021,101.671
6/30/2021,101.703
7/1/2021,101.959
7/2/2021,102.154
7/5/2021,102.177
7/6/2021,101.99
7/7/2021,102.246
7/8/2021,102.254
7/9/2021,102.2
7/12/2021,102.223
7/13/2021,102.194
7/14/2021,102.244
7/15/2021,102.291
7/16/2021,102.243
7/19/2021,102.266
7/20/2021,102.315
7/21/2021,102.347
7/22/2021,102.335
7/23/2021,102.326
7/26/2021,102.303
7/27/2021,102.353
7/28/2021,102.31
7/29/2021,102.201
7/30/2021,102.189
7/31/2021,102.196
8/2/2021,102.334
8/3/2021,102.362
8/4/2021,102.444
8/5/2021,102.459
8/6/2021,102.459
8/9/2021,102.476
8/10/2021,102.458
8/11/2021,102.487
8/12/2021,102.497
8/13/2021,102.508
8/16/2021,102.531
8/17/2021,102.517
8/18/2021,102.525
8/19/2021,102.309
8/20/2021,102.292
8/23/2021,102.442
8/24/2021,102.371
8/25/2021,102.421
8/26/2021,102.429
8/27/2021,102.458
8/30/2021,102.517
8/31/2021,102.5
9/1/2021,102.614
9/2/2021,102.805
9/3/2021,102.673
9/6/2021,102.695
9/7/2021,102.789
9/8/2021,102.88
9/9/2021,102.84
9/10/2021,102.907
9/13/2021,102.93
9/14/2021,103.006
9/15/2021,103.049
9/16/2021,103.041
9/17/2021,102.983
9/20/2021,103.083
9/21/2021,103.009
9/22/2021,103.078
9/23/2021,102.921
9/24/2021,102.844
9/27/2021,102.55
9/28/2021,102.135
9/29/2021,101.9
9/30/2021,101.983
10/1/2021,101.199
10/4/2021,101.301
10/5/2021,101.37
10/6/2021,101.431
10/7/2021,101.578
10/8/2021,101.554
10/11/2021,101.577
10/12/2021,101.516
10/13/2021,101.62
10/14/2021,101.667
10/15/2021,101.733
10/18/2021,101.702
10/19/2021,101.637
10/20/2021,101.663
10/21/2021,101.587
10/22/2021,101.583
10/25/2021,101.635
10/26/2021,101.653
10/27/2021,101.605
10/28/2021,101.588
10/29/2021,101.482
10/31/2021,101.49
11/1/2021,101.401
11/2/2021,101.439
11/3/2021,101.408
11/4/2021,101.373
11/5/2021,101.442
11/8/2021,101.473
11/9/2021,101.473
11/10/2021,101.379
11/11/2021,101.387
11/12/2021,101.029
11/15/2021,101.216
11/16/2021,101.327
11/17/2021,100.96
11/18/2021,100.601
11/19/2021,100.57
11/22/2021,100.612
11/23/2021,100.601
11/24/2021,100.54
11/25/2021,100.547
11/26/2021,99.929
11/29/2021,100.128
11/30/2021,99.436
12/1/2021,99.428
12/2/2021,99.567
12/3/2021,99.769
12/6/2021,99.66
12/7/2021,99.618
12/8/2021,99.78
12/9/2021,99.703
12/10/2021,99.662
12/13/2021,99.95
12/14/2021,100.179
12/15/2021,100.627
12/16/2021,100.697
12/17/2021,100.663
12/20/2021,100.71
12/21/2021,100.677
12/22/2021,100.769
12/23/2021,100.842
12/27/2021,100.877
12/28/2021,100.885
12/29/2021,100.893
12/30/2021,101.07
12/31/2021,101.028
1/3/2022,101.051
1/4/2022,100.078
1/5/2022,100.939
1/6/2022,100.902
1/7/2022,100.789
1/10/2022,100.624
1/11/2022,100.413
1/12/2022,100.344
