Date,GDRU
5/20/2020,821.864
5/21/2020,828.267
5/22/2020,825.285
5/25/2020,825.594
5/26/2020,828.175
5/27/2020,828.544
5/28/2020,830.135
5/29/2020,830.278
5/31/2020,830.381
6/1/2020,832.326
6/2/2020,835.182
6/3/2020,837.696
6/4/2020,835.094
6/5/2020,827.447
6/8/2020,825.691
6/9/2020,824.749
6/10/2020,824.091
6/11/2020,818.548
6/12/2020,820.817
6/15/2020,818.248
6/16/2020,828.609
6/17/2020,828.943
6/18/2020,827.887
6/19/2020,829.421
6/22/2020,832.858
6/23/2020,835.747
6/24/2020,834.509
6/25/2020,830.636
6/26/2020,833.471
6/29/2020,829.787
6/30/2020,824.489
7/1/2020,828.862
7/2/2020,832.249
7/3/2020,832.354
7/6/2020,829.765
7/7/2020,828.89
7/8/2020,829.637
7/9/2020,831.782
7/10/2020,831.332
7/13/2020,832.521
7/14/2020,832.647
7/15/2020,834.054
7/16/2020,835.34
7/17/2020,837.47
7/20/2020,838.157
7/21/2020,839.873
7/22/2020,837.713
7/23/2020,840.824
7/24/2020,836.642
7/27/2020,838.488
7/28/2020,835.727
7/29/2020,837.556
7/30/2020,836.034
7/31/2020,838.362
8/3/2020,840.058
8/4/2020,846.365
8/5/2020,853.546
8/6/2020,857.775
8/7/2020,858.888
8/10/2020,862.571
8/11/2020,862.001
8/12/2020,858.605
8/13/2020,858.294
8/14/2020,853.335
8/17/2020,845.194
8/18/2020,850.008
8/19/2020,849.833
8/20/2020,845.46
8/21/2020,844.776
8/24/2020,844.872
8/25/2020,843.11
8/26/2020,837.826
8/27/2020,839.44
8/28/2020,838.014
8/31/2020,838.383
9/1/2020,842.107
9/2/2020,842.516
9/3/2020,840.728
9/4/2020,837.218
9/7/2020,837.531
9/8/2020,831.037
9/9/2020,833.328
9/10/2020,832.961
9/11/2020,833.795
9/14/2020,833.997
9/15/2020,834.715
9/16/2020,837.088
9/17/2020,835.999
9/18/2020,836.77
9/21/2020,831.938
9/22/2020,831.851
9/23/2020,832.613
9/24/2020,828.516
9/25/2020,829.872
9/28/2020,829.826
9/29/2020,831.934
9/30/2020,832.895
10/1/2020,837.376
10/2/2020,835.033
10/5/2020,836.41
10/6/2020,835.172
10/7/2020,834.916
10/8/2020,835.832
10/9/2020,838.142
10/12/2020,838.458
10/13/2020,839.944
10/14/2020,839.703
10/15/2020,838.986
10/16/2020,840.335
10/19/2020,841.217
10/20/2020,839.351
10/21/2020,838.629
10/22/2020,838.344
10/23/2020,837.116
10/26/2020,836.621
10/27/2020,836.323
10/28/2020,832.924
10/29/2020,831.478
10/30/2020,829.596
10/31/2020,829.701
11/2/2020,827.714
11/3/2020,830.306
11/4/2020,838.439
11/5/2020,845.635
11/6/2020,843.85
11/9/2020,846.899
11/10/2020,845.434
11/11/2020,845.539
11/12/2020,846.42
11/13/2020,848.255
11/16/2020,849.242
11/17/2020,849.499
11/18/2020,849.501
11/19/2020,849.164
11/20/2020,849.323
11/23/2020,849.33
11/24/2020,849.768
11/25/2020,849.258
11/26/2020,849.363
11/27/2020,849.72
11/30/2020,850.254
12/1/2020,849.365
12/2/2020,849.528
12/3/2020,850.732
12/4/2020,850.823
12/7/2020,851.314
12/8/2020,851.639
12/9/2020,851.946
12/10/2020,852.229
12/11/2020,854.323
12/14/2020,854.832
12/15/2020,857.644
12/16/2020,858.992
12/17/2020,860.454
12/18/2020,860.223
12/21/2020,859.5
12/22/2020,859.073
12/23/2020,858.284
12/24/2020,856.936
12/28/2020,858.17
12/29/2020,859.431
12/30/2020,859.72
12/31/2020,860.26
1/4/2021,859.915
1/5/2021,858.334
1/6/2021,853.073
1/7/2021,848.76
1/8/2021,849.577
1/11/2021,850.364
1/12/2021,845.844
1/13/2021,848.965
1/14/2021,851.975
1/15/2021,851.541
1/18/2021,851.86
1/19/2021,852.009
1/20/2021,852.793
1/21/2021,850.356
1/22/2021,844.801
1/25/2021,845.33
1/26/2021,846.964
1/27/2021,848.71
1/28/2021,848.835
1/29/2021,849.957
1/31/2021,850.063
2/1/2021,850.684
2/2/2021,849.766
2/3/2021,846.415
2/4/2021,846.111
2/5/2021,847.049
2/8/2021,844.586
2/9/2021,845.13
2/10/2021,845.622
2/11/2021,846.5
2/12/2021,844.029
2/15/2021,844.348
2/16/2021,838.059
2/17/2021,835.834
2/18/2021,837.45
2/19/2021,837.533
2/22/2021,833.222
2/23/2021,832.04
2/24/2021,830.425
2/25/2021,824.967
2/26/2021,823.35
2/28/2021,823.776
3/1/2021,828.387
3/2/2021,827.481
3/3/2021,824.908
3/4/2021,825.374
3/5/2021,817.118
3/8/2021,810.277
3/9/2021,815.423
3/10/2021,816.068
3/11/2021,819.225
3/12/2021,813.368
3/15/2021,814.994
